Age,Gender,Watched emotional movie in last 12 months,Movie/Book that affected you most recently,How many times watched,When watched most recently,The storytelling in this movie was emotionally powerful.,The story made me feel strong emotions.,The emotional moments felt genuine and realistic.,The characters' emotional experiences were clearly expressed.,The story focused strongly on characters' feelings and relationships.,I feel attached to the characters in this movie.,I still think about this movie or its characters after watching it.,I would like to watch this movie again in the future.,I would recommend this movie to others.,This movie has a special place in my memory compared to other movies.,Emotional Storytelling Score,Audience Attachment Score
24 or above,Male,Yes,An Affair to Remember,More than 3 times,1–6 months ago,4,4,3,4,3,4,3,3,2,3,3.6,3.0
18–20,Female,Yes,Everything Everywhere All at Once,1 time,1–6 months ago,4,4,2,2,4,3,3,5,4,4,3.2,3.8
24 or above,Female,Yes,Good Will Hunting,1 time,1–6 months ago,4,3,3,2,2,4,3,4,4,3,2.8,3.6
24 or above,Female,Yes,Atonement,1 time,Within last 1 month,4,3,4,3,4,2,5,5,3,4,3.6,3.8
24 or above,Female,Yes,Wild Strawberries,1 time,1–6 months ago,4,3,3,5,4,2,5,3,3,2,3.8,3.0
24 or above,Female,Yes,Glory,More than 3 times,More than 6 months ago,5,4,4,4,4,4,3,5,3,5,4.2,4.0
24 or above,Male,Yes,Belfast,1 time,1–6 months ago,2,3,4,2,3,3,2,4,3,2,2.8,2.8
Under 18,Prefer not to say,Yes,How to Train Your Dragon,1 time,Within last 1 month,5,3,4,4,2,5,4,4,3,3,3.6,3.8
18–20,Male,Yes,Her,1 time,1–6 months ago,4,4,3,2,3,2,2,3,4,3,3.2,2.8
21–23,Female,Yes,Pan's Labyrinth,1 time,More than 6 months ago,3,4,5,5,4,4,5,5,3,4,4.2,4.2
Under 18,Male,Yes,Toy Story 3,2–3 times,More than 6 months ago,3,3,2,3,4,3,3,3,3,4,3.0,3.2
21–23,Prefer not to say,Yes,Incendies,1 time,Within last 1 month,3,4,4,2,2,3,2,2,2,3,3.0,2.4
24 or above,Female,Yes,Forrest Gump,1 time,Within last 1 month,4,4,3,3,4,4,5,4,5,5,3.6,4.6
18–20,Male,Yes,Silver Linings Playbook,1 time,More than 6 months ago,2,3,3,3,3,2,3,1,3,2,2.8,2.2
21–23,Male,Yes,Whiplash,2–3 times,Within last 1 month,5,4,5,5,5,4,4,5,4,4,4.8,4.2
21–23,Male,Yes,Grave of the Fireflies,More than 3 times,Within last 1 month,4,4,5,5,3,3,3,4,3,4,4.2,3.4
21–23,Prefer not to say,Yes,Life is Beautiful,1 time,More than 6 months ago,4,4,4,4,3,3,3,2,3,4,3.8,3.0
24 or above,Female,Yes,Sophie's Choice,1 time,More than 6 months ago,4,3,3,4,3,4,5,3,1,3,3.4,3.2
18–20,Female,Yes,Love Rosie,More than 3 times,1–6 months ago,3,3,2,3,4,4,2,3,3,2,3.0,2.8
21–23,Male,Yes,About Time,2–3 times,1–6 months ago,4,3,5,4,3,3,3,4,4,3,3.8,3.4
24 or above,Prefer not to say,Yes,Room,More than 3 times,1–6 months ago,5,4,4,4,4,5,5,3,5,4,4.2,4.4
21–23,Female,Yes,Lion,1 time,More than 6 months ago,3,2,3,4,2,3,4,3,4,3,2.8,3.4
